RL.R,I(AM1.nA),V(un3),
24200,0.0003303964735694949,3.9977973301908882,
24300,0.0003290375629296374,3.9978063895950937,
24400,0.000327689784818233,3.997815374782443,
24500,0.0003263530029927527,3.99782428666122,
24600,0.0003250270834247925,3.997833126124948,
24700,0.0003237118942552782,3.997841894052686,
24800,0.000322407305750752,3.9978505913093247,
24900,0.00032111319026071223,3.9978592187458677,
25000,0.00031982942217597673,3.997867777199709,
25100,0.00031855587788804025,3.997876267494905,
25200,0.0003172924357494,3.9978846904424397,
25300,0.00031603897603482066,3.997893046840481,
25400,0.00031479538090351455,3.9979013374746346,
25500,0.00031356153436221085,3.9979095631181885,
25600,0.00031233732222909024,3.997917724532355,
25700,0.00031112263209856066,3.9979258224665046,
25800,0.0003099173533068524,3.9979338576583956,
25900,0.0003087213768984092,3.9979418308343986,
26000,0.000307534595593055,3.9979497427097153,
26100,0.00030635690375391495,3.9979575939885903,
26200,0.0003051881973560705,3.997965385364524,
26300,0.00030402837395592956,3.9979731175204734,
26400,0.0003028773326612919,3.997980791129053,
26500,0.0003017349741020929,3.9979884068527305,
26600,0.00030060120040180567,3.9979959653440154,
26700,0.0002994759151494867,3.9980034672456473,
26800,0.0002983590233724461,3.998010913190778,
26900,0.00029725043150952775,3.998018303803148,
27000,0.00029615004738498246,3.998025639697263,
27100,0.00029505778018291967,3.9980329214785613,
27200,0.00029397354042232234,3.998040149743584,
27300,0.00029289723993261053,3.998047325080134,
27400,0.0002918287918297401,3.998054448067439,
27500,0.00029076811049282215,3.998061519276305,
27600,0.00028971511154125135,3.9980685392692683,
27700,0.0002886697118123284,3.9980755086007482,
27800,0.00028763182933936606,3.9980824278171885,
27900,0.00028660138333026547,3.998089297457203,
28000,0.0002855782941465512,3.998096118051716,
28100,0.00028456248328285376,3.9981028901240956,
28200,0.00028355387334682913,3.998109614190291,
28300,0.0002825523880395026,3.998116290758962,
28400,0.0002815579521360287,3.9981229203316073,
28500,0.0002805704914668555,3.998129503402691,
28600,0.00027958993289928425,3.998136040459765,
28700,0.00027861620431941374,3.9981425319835875,
28800,0.0002776492346144614,3.9981489784482442,
28900,0.00027668895365545065,3.9981553803212617,
29000,0.00027573529228025657,3.9981617380637204,
29100,0.00027478818227700115,3.998168052130367,
29200,0.000273847556367789,3.9981743229697195,
29300,0.00027291334819277665,3.9981805510241784,
29400,0.0002719854922945663,3.998186736730125,
29500,0.00027106392410291717,3.9981928805180282,
29600,0.00027014857991976634,3.998198982812542,
29700,0.00026923939690455236,3.998205044032603,
29800,0.00026833631305983407,3.9982110645915276,
29900,0.0002674392672171977,3.9982170448971055,
30000,0.0002665481990234461,3.9982229853516906,
30100,0.0002656630489270627,3.998228886352294,
30200,0.000264783758164945,3.998234748290669,
30300,0.0002639102687493994,3.9982405715534006,
30400,0.000263042523455394,3.998246356521989,
30500,0.00026218046580806116,3.998252103572933,
30600,0.00026132404007044523,3.998257813077812,
30700,0.0002604731912314897,3.9982634854033674,
30800,0.0002596278649942583,3.9982691209115777,
30900,0.00025878800776438443,3.9982747199597397,
31000,0.00025795356663874455,3.99828028290054,
31100,0.00025712448939434933,3.9982858100821326,
31200,0.0002563007244774493,3.9982913018482087,
31300,0.0002554822209928479,3.9982967585380695,
31400,0.0002546689286934201,3.9983021804866965,
31500,0.0002538607979698297,3.998307568024818,
31600,0.0002530577798404417,3.998312921478978,
31700,0.00025225982594142605,3.9983182411716025,
31800,0.00025146688851704796,3.9983235274210633,
31900,0.0002506789204101405,3.998328780541741,
32000,0.00024989587505275555,3.9983340008440886,
32100,0.00024911770645699016,3.9983391886346924,
32200,0.00024834436920598334,3.9983443442163313,
32300,0.00024757581844507965,3.998349467888037,
