V1.V,V(V_D),I(D1.nK),
-6.01,-5.001241899315616,0.001008758100684384,
-6,-5.000982855318246,0.000999017144681754,
-5.99,-5.00072143268804,0.0009892785673119603,
-5.98,-5.0004575861549565,0.0009795424138450439,
-5.97,-5.000191269156156,0.0009698087308438435,
-5.96,-4.999922433786661,0.0009600775662133392,
-5.95,-4.999651030747654,0.0009503489692523455,
-5.94,-4.999377009292286,0.0009406229907077148,
-5.93,-4.999100317168824,0.0009308996828311757,
-5.92,-4.998820900561021,0.0009211790994389792,
-5.91,-4.998538704025503,0.0009114612959744974,
-5.9,-4.998253670426023,0.0009017463295739768,
-5.89,-4.997965740864383,0.0008920342591356166,
-5.88,-4.997674854607809,0.0008823251453921904,
-5.87,-4.997380949012587,0.000872619050987413,
-5.86,-4.997083959443696,0.0008629160405563043,
-5.85,-4.996783819190211,0.000853216180809788,
-5.84,-4.996480459376195,0.0008435195406238047,
-5.83,-4.996173808866785,0.0008338261911332149,
-5.82,-4.995863794169178,0.000824136205830822,
-5.81,-4.995550339328165,0.0008144496606718339,
-5.8,-4.99523336581586,0.0008047666341841397,
-5.79,-4.99491279241523,0.0007950872075847701,
-5.78,-4.994588535097015,0.0007854114649029849,
-5.77,-4.994260506889578,0.0007757394931104213,
-5.76,-4.993928617741192,0.0007660713822588079,
-5.75,-4.993592774374244,0.0007564072256257554,
-5.74,-4.993252880130785,0.0007467471198692153,
-5.73,-4.992908834808785,0.0007370911651912161,
-5.72,-4.99256053448845,0.0007274394655115493,
-5.71,-4.9922078713478575,0.0007177921286521423,
-5.7,-4.991850733467105,0.0007081492665328954,
-5.69,-4.991489004620138,0.0006985109953798627,
-5.68,-4.9911225640533035,0.0006888774359466967,
-5.67,-4.990751286249608,0.0006792487137503917,
-5.66,-4.990375040677581,0.0006696249593224193,
-5.65,-4.989993691523509,0.0006600063084764912,
-5.64,-4.989607097405742,0.0006503929025942581,
-5.63,-4.989215111069594,0.0006407848889304056,
-5.62,-4.988817579061276,0.0006311824209387239,
-5.61,-4.988414341379099,0.0006215856586209019,
-5.6,-4.988005231100052,0.000611994768899947,
-5.59,-4.987590073979665,0.0006024099260203345,
-5.58,-4.98716868802282,0.00059283131197718,
-5.57,-4.986740883023005,0.0005832591169769947,
-5.56,-4.986306460067195,0.0005736935399328049,
-5.55,-4.985865211003254,0.0005641347889967451,
-5.54,-4.985416917866474,0.0005545830821335256,
-5.53,-4.984961352261423,0.0005450386477385774,
-5.52,-4.984498274694944,0.0005355017253050551,
-5.51,-4.98402743385563,0.0005259725661443697,
-5.5,-4.983548565834589,0.0005164514341654109,
-5.49,-4.983061393281752,0.0005069386067182475,
-5.48,-4.982565624491279,0.000497434375508721,
-5.47,-4.98206095240888,0.00048793904759111915,
-5.46,-4.981547053553024,0.0004784529464469754,
-5.45,-4.981023586841019,0.0004689764131589813,
-5.44,-4.980490192309855,0.00045950980769014516,
-5.43,-4.9799464897204455,0.0004500535102795539,
-5.42,-4.979392077032441,0.00044060792296755886,
-5.41,-4.978826528735166,0.0004311734712648343,
-5.4,-4.978249394018316,0.0004217506059816843,
-5.39,-4.977660194763885,0.00041233980523611423,
-5.38,-4.97705842333827,0.0004029415766617299,
-5.37,-4.976443540160607,0.0003935564598393937,
-5.36,-4.9758149710200295,0.0003841850289799713,
-5.35,-4.975172104110637,0.00037482789588936253,
-5.34,-4.9745142867484144,0.0003654857132515858,
-5.33,-4.9738408217290475,0.0003561591782709526,
-5.32,-4.973150963279399,0.0003468490367206017,
-5.31,-4.972443912548105,0.00033755608745189455,
-5.3,-4.971718812572248,0.0003282811874277524,
-5.29,-4.97097474264694,0.00031902525735305945,
-5.28,-4.970210712012789,0.000309789287987211,
-5.27,-4.969425652762015,0.00030057434723798404,
-5.26,-4.968618411847268,0.0002913815881527321,
-5.25,-4.967787742057065,0.0002822122579429351,
-5.24,-4.9669322917978596,0.00027306770820214053,
-5.23,-4.966050593493922,0.00026394940650607867,
-5.22,-4.965141050381616,0.0002548589496183836,
-5.21,-4.9642019214328466,0.0002457980785671535,
