P1.K,I(i_C.nA),V(Q1.nC),
0.224,0.0015855934400937999,9.778803730161142,
0.225,0.0015852996238355788,9.76327510282147,
0.226,0.0015850058722457357,9.747749893301982,
0.227,0.0015847121852896756,9.732228099774327,
0.228,0.0015844185629328208,9.716709720410979,
0.229,0.0015841250051406085,9.701194753385245,
0.23,0.0015838315118784912,9.685683196871267,
0.231,0.0015835380831119381,9.670175049044017,
0.232,0.0015832447188064338,9.654670308079302,
0.233,0.001582951418927478,9.639168972153742,
0.234,0.0015826581834405867,9.623671039444806,
0.235,0.0015823650123112914,9.608176508130775,
0.236,0.0015820719055051392,9.592685376390769,
0.237,0.001581778862987693,9.577197642404725,
0.238,0.001581485884724531,9.561713304353413,
0.239,0.0015811929706812473,9.546232360418422,
0.24,0.0015809001208234516,9.53075480878217,
0.241,0.0015806073351167687,9.515280647627895,
0.242,0.0015803146135268398,9.49980987513966,
0.243,0.001580021956019321,9.48434248950235,
0.244,0.0015797293625598842,9.468878488901673,
0.245,0.0015794368331142168,9.453417871524154,
0.246,0.0015791443676480216,9.43796063555714,
0.247,0.0015788519661270172,9.422506779188797,
0.248,0.0015785596285169375,9.407056300608112,
0.249,0.0015782673547835313,9.391609198004886,
0.25,0.001577975144892564,9.37616546956974,
0.251,0.0015776829988098158,9.360725113494112,
0.252,0.0015773909165010826,9.345288127970251,
0.253,0.0015770988979321749,9.329854511191227,
0.254,0.0015768069430689197,9.314424261350922,
0.255,0.001576515051877159,9.298997376644031,
0.256,0.0015762232243227497,9.283573855266061,
0.257,0.0015759314603715651,9.268153695413336,
0.258,0.0015756397599894928,9.252736895282986,
0.259,0.0015753481231424362,9.237323453072955,
0.26,0.0015750565497963142,9.221913366981996,
0.261,0.0015747650399170606,9.20650663520967,
0.262,0.0015744735934706251,9.191103255956353,
0.263,0.0015741822104229722,9.175703227423222,
0.264,0.0015738908907400816,9.160306547812263,
0.265,0.0015735996343879484,9.144913215326271,
0.266,0.0015733084413325834,9.129523228168845,
0.267,0.0015730173115400122,9.11413658454439,
0.268,0.0015727262449762751,9.098753282658116,
0.269,0.0015724352416074288,9.083373320716035,
0.27,0.0015721443013995444,9.067996696924965,
0.271,0.0015718534243187082,9.052623409492522,
0.272,0.001571562610331022,9.037253456627129,
0.273,0.0015712718594026026,9.021886836538007,
0.274,0.0015709811714995816,9.006523547435176,
0.275,0.0015706905465881066,8.991163587529462,
0.276,0.0015703999846343394,8.975806955032482,
0.277,0.0015701094856044573,8.960453648156655,
0.278,0.001569819049464653,8.9451036651152,
0.279,0.0015695286761811334,8.929757004122127,
0.28,0.0015692383657201214,8.914413663392247,
0.281,0.0015689481180478544,8.899073641141166,
0.282,0.0015686579331305854,8.883736935585283,
0.283,0.0015683678109345814,8.868403544941792,
0.284,0.0015680777514261255,8.853073467428677,
0.285,0.0015677877545715153,8.837746701264726,
0.286,0.0015674978203370632,8.822423244669503,
