RL.R,I(AM1.nA),V(un3),
28400,0.000049463559453797,0.7023825442439174,
28500,0.00004943299326866812,0.7044201540785208,
28600,0.00004940246483717813,0.7064552471716472,
28700,0.00004937197408942343,0.7084878281832262,
28800,0.0000493415209556729,0.7105179017616897,
28900,0.00004931110536636734,0.712545472544008,
29000,0.000049280727252118975,0.7145705451557252,
29100,0.000049250386543710896,0.7165931242109935,
29200,0.00004922008317209655,0.7186132143126097,
29300,0.000049189817068399226,0.7206308200520487,
29400,0.00004915958816391151,0.7226459460094992,
29500,0.00004912939639009478,0.7246585967538981,
29600,0.00004909924167857869,0.7266687768429647,
29700,0.000049069123961160646,0.7286764908232357,
29800,0.00004903904316980529,0.7306817432300989,
29900,0.000049008999236644,0.7326845385878279,
30000,0.000048978992093974366,0.7346848814096154,
30100,0.000048949021674259686,0.7366827761976082,
30200,0.00004891908791012847,0.7386782274429399,
30300,0.00004888919073437391,0.7406712396257648,
30400,0.000048859330079953415,0.7426618172152919,
30500,0.00004882950587998807,0.744649964669818,
30600,0.00004879971806776216,0.7466356864367609,
30700,0.00004876996657672266,0.7486189869526929,
30800,0.00004874025134047877,0.7505998706433731,
30900,0.000048710572292801364,0.7525783419237811,
31000,0.00004868092936762256,0.7545544051981498,
31100,0.000048651322499035187,0.7565280648599972,
31200,0.00004862175162129231,0.7584993252921601,
31300,0.000048592216668806755,0.7604681908668257,
31400,0.00004856271757615059,0.7624346659455644,
31500,0.000048533254278054705,0.7643987548793616,
31600,0.000048503826709408246,0.7663604620086503,
31700,0.00004847443480525821,0.7683197916633425,
31800,0.000048445078500808916,0.7702767481628618,
31900,0.00004841575773142158,0.7722313358161742,
32000,0.00004838647243261378,0.7741835589218204,
32100,0.00004835722254005903,0.7761334217679474,
32200,0.00004832800798958629,0.7780809286323392,
32300,0.00004829882871717949,0.7800260837824488,
32400,0.0000482696846589771,0.7819688914754289,
32500,0.000048240575751271595,0.7839093559581635,
