V1.V,V(V_D),I(D1.nA),
-1.78,-1.77999748,-2.52e-9,
-1.77,-1.76999748,-2.52e-9,
-1.76,-1.75999748,-2.52e-9,
-1.75,-1.74999748,-2.52e-9,
-1.74,-1.73999748,-2.52e-9,
-1.73,-1.72999748,-2.52e-9,
-1.72,-1.71999748,-2.52e-9,
-1.71,-1.70999748,-2.52e-9,
-1.7,-1.69999748,-2.52e-9,
-1.69,-1.68999748,-2.52e-9,
-1.68,-1.67999748,-2.5199999999999996e-9,
-1.67,-1.66999748,-2.5199999999999996e-9,
-1.66,-1.65999748,-2.5199999999999996e-9,
-1.65,-1.64999748,-2.5199999999999996e-9,
-1.64,-1.63999748,-2.5199999999999996e-9,
-1.63,-1.6299974799999999,-2.5199999999999996e-9,
-1.62,-1.61999748,-2.5199999999999996e-9,
-1.61,-1.60999748,-2.519999999999999e-9,
-1.6,-1.59999748,-2.519999999999999e-9,
-1.59,-1.58999748,-2.5199999999999987e-9,
-1.58,-1.57999748,-2.5199999999999987e-9,
-1.57,-1.56999748,-2.5199999999999983e-9,
-1.56,-1.55999748,-2.519999999999998e-9,
-1.55,-1.54999748,-2.519999999999997e-9,
-1.54,-1.53999748,-2.5199999999999967e-9,
-1.53,-1.52999748,-2.5199999999999954e-9,
-1.52,-1.51999748,-2.5199999999999946e-9,
-1.51,-1.50999748,-2.5199999999999934e-9,
-1.5,-1.49999748,-2.5199999999999917e-9,
-1.49,-1.48999748,-2.5199999999999892e-9,
-1.48,-1.47999748,-2.5199999999999867e-9,
-1.47,-1.46999748,-2.5199999999999834e-9,
-1.46,-1.45999748,-2.5199999999999793e-9,
-1.45,-1.44999748,-2.5199999999999743e-9,
-1.44,-1.43999748,-2.5199999999999677e-9,
-1.43,-1.42999748,-2.51999999999996e-9,
-1.42,-1.41999748,-2.5199999999999495e-9,
-1.41,-1.40999748,-2.519999999999937e-9,
-1.4,-1.39999748,-2.519999999999922e-9,
-1.39,-1.38999748,-2.519999999999902e-9,
-1.38,-1.3799974799999999,-2.5199999999998776e-9,
-1.37,-1.36999748,-2.5199999999998474e-9,
-1.36,-1.35999748,-2.5199999999998093e-9,
-1.35,-1.34999748,-2.519999999999762e-9,
-1.34,-1.33999748,-2.519999999999703e-9,
-1.33,-1.32999748,-2.519999999999629e-9,
